adm2_name,adm2_name1,adm2_name2,adm2_name3,adm2_pcode,adm1_name,adm1_name1,adm1_name2,adm1_name3,adm1_pcode,adm0_name,adm0_name1,adm0_name2,adm0_name3,adm0_pcode,valid_on,valid_to,area_sqkm,version,lang,lang1,lang2,lang3,adm2_ref_name,center_lat,center_lon,flood_frequency_years,flood_pixel_days,crop_pct,rangeland_pct,cattle_sum,pop_sum
Juba,,,,SS0101,Central Equatoria,,,,SS01,South Sudan,,,,SS,2022-12-19,,18366.51488079,v03,en,,,,Juba,4.71332287,31.33098496,0.0,0.0,0.0669822691661116,44.409093792622194,360601.76558356546,528189.5488420995
Kajo-keji,,,,SS0102,Central Equatoria,,,,SS01,South Sudan,,,,SS,2022-12-19,,2516.10454603,v03,en,,,,Kajo-keji,3.90980178,31.43848064,0.0,0.0,0.16544846733525978,30.909229984701682,91808.31860554422,226798.57416689396
Lainya,,,,SS0103,Central Equatoria,,,,SS01,South Sudan,,,,SS,2022-12-19,,3498.91614625,v03,en,,,,Lainya,4.20628854,30.80982869,0.0,0.0,0.17137328584649036,16.537760453181527,63668.74522324931,113726.79464289546
Morobo,,,,SS0104,Central Equatoria,,,,SS01,South Sudan,,,,SS,2022-12-19,,1308.94190912,v03,en,,,,Morobo,3.71807583,30.81784689,0.0,0.0,0.7973675914249685,16.103483606557376,69227.84161689546,110556.66579349339
Terekeka,,,,SS0105,Central Equatoria,,,,SS01,South Sudan,,,,SS,2022-12-19,,10672.12996617,v03,en,,,,Terekeka,5.70081712,31.42853231,0.0,0.0,0.021411116713859042,31.230169504673984,237603.71073512879,256708.672897771
Yei,,,,SS0106,Central Equatoria,,,,SS01,South Sudan,,,,SS,2022-12-19,,6720.54802292,v03,en,,,,Yei,4.24372282,30.29034123,0.0,0.0,0.23020921287175158,17.40611689651937,116147.54366691533,285331.314432323
Budi,,,,SS0201,Eastern Equatoria,,,,SS02,South Sudan,,,,SS,2022-12-19,,5733.33260999,v03,en,,,,Budi,4.38233469,33.40334234,0.0,0.0,1.6745133367278995,28.236359719556617,128606.94631944394,102088.27192730084
Ikotos,,,,SS0202,Eastern Equatoria,,,,SS02,South Sudan,,,,SS,2022-12-19,,3511.09691111,v03,en,,,,Ikotos,4.08090057,33.04183063,0.0,0.0,2.2972972972972974,29.237730445677464,70411.28570542825,102388.96201127768
Kapoeta East,,,,SS0203,Eastern Equatoria,,,,SS02,South Sudan,,,,SS,2022-12-19,,29562.91101223,v03,en,,,,Kapoeta East,5.09454429,34.77482485,0.0,0.0,0.9057751611998879,35.739622465190166,470100.2677425908,165894.3729275912
Kapoeta North,,,,SS0204,Eastern Equatoria,,,,SS02,South Sudan,,,,SS,2022-12-19,,5733.14132018,v03,en,,,,Kapoeta North,5.33482283,33.4441215,0.0,0.0,0.9464569160997732,48.43914399092971,82947.96079880717,149557.7104388103
