date,inundation_km2,population_exposed_est,crop_exposed_km2,rangeland_exposed_km2,cattle_exposure_index,flooded_cells,health_facilities_exposed
2015-01-01,1456.618086737062,1466.6231465637684,25.642834661075803,805.5318479530606,72182124.81773044,27508,0
2015-01-02,2323.640522035987,2703.365627273917,37.465161972197336,1335.6911365215037,111526965.21818022,43908,4
2015-01-03,1604.4005340832493,2014.5248929187655,23.527444958939775,999.090523657325,72416987.54418235,30327,2
2015-01-04,1922.2197155759798,1936.7350977659225,29.857526906447234,1192.888624048496,90102319.60300933,36320,2
2015-01-05,1627.0152063629969,1966.5007304549217,16.875824319472425,1029.3059759420667,65489557.445759065,30755,2
2015-01-06,1737.7480416138583,1620.23645670712,24.82684090180578,1091.1069462885155,77042329.89961682,32833,2
2015-01-07,2370.808200879512,2481.8934689685702,25.972222439172032,1450.6122030260744,100371998.12140979,44818,3
2015-01-08,1419.895097964383,1078.3343640714884,20.111671999890795,817.2880132248699,60498237.8218111,26822,2
2015-01-09,2134.300465206726,2009.071277551353,29.7146885328868,1164.317709885503,94284492.96274787,40331,3
2015-01-10,1058.6204276220224,742.9270863831043,16.30003805352277,498.7550035804611,46541433.48012373,19978,0
2015-01-11,1849.2740490457325,1469.2910883426666,23.191045258747312,1150.6399431749126,76964803.29367474,34943,1
2015-01-12,1428.985757301754,1346.8510404080153,12.424368775171505,855.4031747957931,52049238.21112081,27020,2
2015-01-13,1931.901651898515,1526.8346170634031,18.633394495285604,1243.7774657636087,76936908.19456382,36504,3
2015-01-14,2169.7702354705266,2004.089022114873,18.518402997659933,1258.1242268607273,83364766.32017854,41003,4
2015-01-15,1716.1896044105372,1090.135368451476,21.780536056502307,927.4217250086082,67238592.73543204,32403,2
2015-01-16,2570.515551375911,2325.391589716077,27.01225118968565,1360.9372469220054,102172017.58207737,48570,6
2015-01-17,1576.7270251681123,882.2387601137161,19.157274070259277,835.4401094159828,61620274.825342186,29778,0
2015-01-18,2242.9450433821266,1862.477904357016,28.389991595973992,1352.0840290921599,90051177.97826047,42397,4
2015-01-19,1557.7656917888307,1224.75877866894,16.60209409883293,1010.0549254433998,54932830.670344904,29457,1
