FID,Country,Admin1,Facility_n,Facility_t,Ownership,Lat,Long,LL_source,facility_id,facility_name,exposed_dates,first_exposure,last_exposure,index_admin1,adm1_name,adm1_name1,adm1_name2,adm1_name3,adm1_pcode,adm0_name,adm0_name1,adm0_name2,adm0_name3,adm0_pcode,valid_on,valid_to,area_sqkm,version,lang,lang1,lang2,lang3,adm1_ref_name,center_lat,center_lon
55813,South Sudan,Unity,Biel Bar Primary Health Care Unit,Primary Health Care Unit,MoH,8.979,29.7174,GPS,1025,Biel Bar Primary Health Care Unit,736,2021-09-29,2025-03-31,5,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
55814,South Sudan,Unity,Biel Chir Primary Health Care Unit,Primary Health Care Unit,MoH,9.0476,29.6894,GPS,1026,Biel Chir Primary Health Care Unit,703,2021-10-06,2025-12-21,5,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
55922,South Sudan,Unity,Wathnyotni Primary Health Care Unit,Primary Health Care Unit,MoH,9.4928,29.8938,GPS,1134,Wathnyotni Primary Health Care Unit,695,2021-09-20,2025-02-10,5,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
55873,South Sudan,Unity,Nhial Diu Primary Health Care Centre,Primary Health Care Centre,MoH,9.0262,29.6833,Geonames,1085,Nhial Diu Primary Health Care Centre,578,2021-09-29,2025-03-20,5,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
55847,South Sudan,Unity,Kuer Guini Primary Health Care Unit,Primary Health Care Unit,MoH,9.2607,29.891,GPS,1059,Kuer Guini Primary Health Care Unit,466,2021-10-08,2025-06-11,5,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
55874,South Sudan,Unity,Niemni Primary Health Care Unit,Primary Health Care Unit,MoH,9.3065,30.0263,GPS,1086,Niemni Primary Health Care Unit,378,2021-09-29,2025-02-17,5,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
55918,South Sudan,Unity,UNMISS PoC Sector 4 Primary Health Care Unit,Primary Health Care Unit,MoH,9.2569,29.7772,Geonames,1130,UNMISS PoC Sector 4 Primary Health Care Unit,324,2021-10-17,2025-03-14,5,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
55463,South Sudan,Jonglei,Kongor Primary Health Care Unit,Primary Health Care Unit,MoH,7.1562,31.3553,GPS,676,Kongor Primary Health Care Unit,314,2020-10-12,2023-03-04,2,Jonglei,,,,SS03,South Sudan,,,,SS,2022-12-19,,121917.69877381,v03,en,,,,Jonglei,7.62046957,32.14872958
55553,South Sudan,Jonglei,Wangulei Primary Health Care Unit,Primary Health Care Unit,MoH,7.0848,31.3775,GPS,766,Wangulei Primary Health Care Unit,306,2020-09-03,2024-01-25,2,Jonglei,,,,SS03,South Sudan,,,,SS,2022-12-19,,121917.69877381,v03,en,,,,Jonglei,7.62046957,32.14872958
55823,South Sudan,Unity,Chol Yiel Primary Health Care Unit,Primary Health Care Unit,MoH,9.0706,29.9256,GPS,1035,Chol Yiel Primary Health Care Unit,275,2021-12-02,2024-03-03,5,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
